Team,Player,#,Class,Pos,Height,Weight,Hometown,High School,Summary
North Carolina State,Abdul-Malik Abu,0,JR,F,8-Jun,235,"Boston, MA",Kimball Union Academy,"11.8 Pts, 7.0 Reb, 1.1 Ast"
North Carolina State,BeeJay Anya,21,SR,F,9-Jun,300,"Washington, DC",DeMatha Catholic HS,"2.8 Pts, 2.5 Reb, 0.4 Ast"
North Carolina State,Chris Brickhouse,15,SR,F,5-Jun,205,"Raleigh, NC",Broughton HS,"0.8 Reb, 0.2 Ast"
North Carolina State,Chris Corchiani,13,JR,G,Jun-00,180,"Raleigh, NC",Ravenscroft HS,"1.2 Pts, 0.4 Ast"
North Carolina State,Torin Dorn,2,SO,G,5-Jun,201,"Charlotte, NC",Vance,"9.5 Pts, 4.6 Reb, 0.8 Ast"
North Carolina State,Lennard Freeman,1,SR,F,8-Jun,267,"Washington, DC",Oak Hill Academy (VA),
North Carolina State,Cameron Gottfried,12,JR,G,3-Jun,183,"Raleigh, NC",Broughton HS,
North Carolina State,Terry Henderson,3,SR,G,4-Jun,200,"Raleigh, NC",Neuse Christian Academy,"13.8 Pts, 3.1 Reb, 1.6 Ast"
North Carolina State,Darius Hicks,5,FR,F,7-Jun,231,"Quitman, MS",,"0.4 Pts, 1.1 Reb, 0.3 Ast"
North Carolina State,Markell Johnson,11,FR,G,1-Jun,164,"Cleveland, OH",,"4.0 Pts, 1.6 Reb, 2.3 Ast"
North Carolina State,Ted Kapita,23,FR,F,8-Jun,219,,,"4.3 Pts, 3.4 Reb, 0.3 Ast"
North Carolina State,Shaun Kirk,22,SO,G,8-Jun,195,"Whiteville, NC",Whiteville HS,"1.8 Pts, 0.9 Reb, 0.1 Ast"
North Carolina State,Spencer Newman,31,FR,G,3-Jun,186,"Daphne, AL",,
North Carolina State,Maverick Rowan,24,SO,G,7-Jun,215,"Fort Lauderdale, FL",Elevate (FL),"12.0 Pts, 3.7 Reb, 0.9 Ast"
North Carolina State,Dennis Smith Jr.,4,FR,G,3-Jun,195,"Fayetteville, NC",,"18.1 Pts, 4.6 Reb, 6.2 Ast"
North Carolina State,Tucker Thompson,42,JR,F,10-Jun,240,"Huntersville, NC",Williams Amos Hough,"1.2 Pts, 0.4 Reb"
North Carolina State,Omer Yurtseven,14,FR,C,Jul-00,245,"Istanbul, Turkey",,"5.9 Pts, 4.4 Reb, 1.2 Ast"
Boston College,Ky Bowman,0,FR,G,1-Jun,182,"Havelock, NC",,"14.2 Pts, 4.8 Reb, 2.9 Ast"
Boston College,Jordan Chatman,25,SO,G,5-Jun,190,"Vancouver, WA",Union HS,"8.6 Pts, 2.2 Reb, 1.1 Ast"
Boston College,Matt DiLuccio,22,,G,11-May,180,,,
Boston College,Gordon Gehan,20,SO,G,5-Jun,220,"Dallas, TX",,
Boston College,Aser Ghebremichael,14,SO,F,8-Jun,195,"Somerville, MA",,0.5 Reb
Boston College,Ty Graves,3,FR,G,Jun-00,165,"Greensboro, NC",,"4.8 Pts, 0.9 Reb, 1.6 Ast"
Boston College,Mo Jeffers,15,SR,F,9-Jun,240,"Washington, DC",,"5.6 Pts, 5.6 Reb, 0.5 Ast"
Boston College,Ervins Meznieks,10,SO,F,7-Jun,218,"Riga, Latvia",,"0.9 Pts, 0.6 Reb, 0.2 Ast"
Boston College,Garland Owens,5,SR,F,5-Jun,210,"Gaithersburg, MD",Magruder HS,"1.9 Pts, 2.2 Reb, 0.8 Ast"
Boston College,Nik Popovic,21,FR,F,11-Jun,243,,,"6.1 Pts, 3.5 Reb, 0.4 Ast"
Boston College,Johncarlos Reyes,12,FR,C,10-Jun,216,"Lawrenceville, GA",,"1.6 Pts, 1.1 Reb, 0.2 Ast"
Boston College,Jerome Robinson,1,SO,G,7-Jun,181,"Raleigh, NC",Needham Broughton HS,"18.6 Pts, 3.8 Reb, 3.4 Ast"
Boston College,Mike Sagay,23,FR,F,7-Jun,200,"Bloomfield, CT",,"2.0 Pts, 0.9 Reb"
Boston College,Connar Tava,2,SR,F,6-Jun,235,"Macomb, MI",Warren De La Salle HS,"5.9 Pts, 5.4 Reb, 2.1 Ast"
Boston College,A.J. Turner,11,SO,F,7-Jun,190,"Mount Clemens, MI",,"8.4 Pts, 3.3 Reb, 3.0 Ast"
Kentucky,Edrice Adebayo,3,FR,F,10-Jun,260,"Washington, NC",,"13.0 Pts, 8.0 Reb, 0.8 Ast"
Kentucky,Isaiah Briscoe,13,SO,G,3-Jun,202,"Newark, NJ",Roselle Catholic HS,"12.1 Pts, 5.4 Reb, 4.2 Ast"
Kentucky,Brad Calipari,20,FR,G,Jun-00,178,"Franklin Lakes, NJ",,"0.5 Pts, 0.2 Reb, 0.1 Ast"
Kentucky,Jonny David,10,SO,G,2-Jun,175,"Pittsburgh, PA",Mt. Lebanon HS,0.7 Pts
Kentucky,Hamidou Diallo,4,,G,5-Jun,190,,,
Kentucky,De'Aaron Fox,0,FR,G,3-Jun,187,"Houston, TX",,"16.7 Pts, 3.9 Reb, 4.6 Ast"
Kentucky,Wenyen Gabriel,32,FR,F,9-Jun,213,"Manchester, NH",,"4.6 Pts, 4.8 Reb, 0.7 Ast"
Kentucky,Dominique Hawkins,25,SR,G,Jun-00,195,"Richmond, KY",Madison Central HS,"4.7 Pts, 1.6 Reb, 1.7 Ast"
Kentucky,Isaac Humphries,15,SO,F,Jul-00,260,"Sydney, Australia",La Lumiere School (IN),"2.8 Pts, 2.8 Reb, 0.2 Ast"
Kentucky,Sacha Killeya-Jones,1,FR,F,10-Jun,230,"Chapel Hill, NC",,"2.9 Pts, 2.2 Reb, 0.1 Ast"
Kentucky,Malik Monk,5,FR,G,3-Jun,200,"Lepanto, AR",,"19.8 Pts, 2.5 Reb, 2.3 Ast"
Kentucky,Mychal Mulder,11,SR,G,4-Jun,185,"Ontario, Canada",Catholic Central (Ont.),"4.7 Pts, 1.5 Reb, 0.4 Ast"
Kentucky,Dillon Pulliam,30,SO,G,3-Jun,180,"Cynthiana, KY",,"0.2 Reb, 0.2 Ast"
Kentucky,Derek Willis,35,SR,F,9-Jun,216,"Mount Washington, KY",Bullitt East HS,"7.0 Pts, 5.4 Reb, 0.9 Ast"
Kentucky,Tai Wynyard,14,FR,F,10-Jun,254,"Auckland, New Zealand",,"0.7 Pts, 0.9 Reb, 0.1 Ast"
Florida,KeVaughn Allen,5,SO,G,2-Jun,183,"Little Rock, AR",North Little Rock HS,"14.0 Pts, 2.4 Reb, 1.5 Ast"
Florida,Canyon Barry,24,SR,G,6-Jun,205,"Colorado Springs, CO",Cheyenne Mountain HS,"11.4 Pts, 2.8 Reb, 0.6 Ast"
Florida,Dontay Bassett,21,FR,F,9-Jun,222,"Oakland, CA",,
Florida,Chris Chiozza,11,JR,G,Jun-00,160,"Memphis, TN",White Station HS,"7.2 Pts, 3.3 Reb, 3.8 Ast"
Florida,John Egbunu,15,JR,C,11-Jun,266,"Bauchi, Nigeria",Ft. Walton Beach,"7.8 Pts, 6.5 Reb, 0.3 Ast"
Florida,Gorjok Gak,12,FR,F,11-Jun,231,,,"1.5 Pts, 1.5 Reb"
Florida,Kevarrius Hayes,13,SO,F,9-Jun,210,"Live Oak, FL",Suwanee HS,"6.2 Pts, 4.4 Reb, 0.2 Ast"
Florida,Eric Hester,2,FR,G,3-Jun,167,"Clearwater, FL",,"2.4 Pts, 0.6 Reb, 0.3 Ast"
Florida,Kasey Hill,0,SR,G,1-Jun,182,"Umatilla, FL",Montverde Academy,"9.7 Pts, 2.9 Reb, 4.4 Ast"
Florida,Jalen Hudson,3,JR,G,6-Jun,190,"Richmond, VA",St. Vincent-St. Mary HS,
Florida,Justin Leon,23,SR,F,8-Jun,196,"Conway, AR",,"7.4 Pts, 4.0 Reb, 0.5 Ast"
Florida,Schuyler Rimmer,32,SR,C,10-Jun,255,"Orlando, FL",Boone,"1.2 Pts, 0.9 Reb, 0.1 Ast"
Florida,Devin Robinson,1,JR,F,8-Jun,178,"Chesterfield, VA",Christchurch School,"11.1 Pts, 6.1 Reb, 0.6 Ast"
Florida,Keith Stone,25,FR,F,8-Jun,233,"Deerfield Beach, FL",Zion Lutheran HS,"3.6 Pts, 2.1 Reb, 0.5 Ast"
Arkansas,Adrio Bailey,2,FR,F,6-Jun,204,"Campti, LA",,"1.9 Pts, 1.3 Reb, 0.3 Ast"
Arkansas,Jaylen Barford,0,JR,G,3-Jun,202,"Jackson, TN",,"12.8 Pts, 3.8 Reb, 2.0 Ast"
Arkansas,Anton Beard,31,JR,G,Jun-00,195,"North Little Rock, AR",North Little Rock HS,"7.2 Pts, 2.1 Reb, 1.9 Ast"
Arkansas,Arlando Cook,5,JR,F,8-Jun,215,"St. Louis, MO",,"2.8 Pts, 2.3 Reb, 0.3 Ast"
Arkansas,RJ Glasper,11,FR,G,10-May,168,"Forrest City, AR",,
Arkansas,Dusty Hannahs,3,SR,G,3-Jun,208,"Little Rock, AR",Pulaski Academy,"14.4 Pts, 1.7 Reb, 1.2 Ast"
Arkansas,Brachen Hazen,12,FR,F,8-Jun,195,"Fort Wayne, IN",,"0.2 Pts, 0.9 Reb, 0.1 Ast"
Arkansas,Jonathan Holmes,15,,G,10-May,190,,,"0.3 Pts, 0.2 Reb"
Arkansas,C.J. Jones,23,FR,G,5-Jun,175,"Birmingham, AL",,"2.4 Pts, 0.6 Reb, 0.3 Ast"
Arkansas,Moses Kingsley,33,SR,F,10-Jun,230,"Abuja, Nigeria",Huntington Prep HS,"12.0 Pts, 7.7 Reb, 1.3 Ast"
Arkansas,Daryl Macon,4,JR,G,3-Jun,185,"Little Rock, AR",,"13.4 Pts, 2.6 Reb, 2.2 Ast"
Arkansas,Dustin Thomas,13,JR,F,7-Jun,225,"Texarkana, TX",Pleasant Grove,"5.3 Pts, 3.8 Reb, 1.1 Ast"
Arkansas,Trey Thompson,1,JR,F,9-Jun,270,"Madison, AR",Forrest City HS,"2.4 Pts, 3.2 Reb, 1.6 Ast"
Arkansas,Manuale Watkins,21,SR,G,3-Jun,208,"Fayetteville, AR",Fayetteville HS,"6.0 Pts, 4.0 Reb, 1.8 Ast"
South Carolina,TeMarcus Blanton,5,SO,G,5-Jun,208,"Locust Grove, GA",Luella HS,"1.3 Pts, 1.0 Reb, 0.1 Ast"
South Carolina,Tommy Corchiani,13,FR,G,1-Jun,173,"Raleigh, NC",,0.2 Reb
South Carolina,PJ Dozier,15,SO,G,7-Jun,185,"Columbia, SC",Spring Valley HS,"13.9 Pts, 4.8 Reb, 2.8 Ast"
South Carolina,Rakym Felder,4,FR,G,10-May,210,"Brooklyn, NY",,"5.6 Pts, 1.5 Reb, 1.3 Ast"
South Carolina,Hassani Gravett,2,SO,G,1-Jun,183,"Villa Rica, GA",,"3.3 Pts, 1.6 Reb, 1.4 Ast"
South Carolina,Khadim Gueye,12,FR,F,Jul-00,235,"Dakar, Senegal",,"0.4 Pts, 0.9 Reb, 0.1 Ast"
South Carolina,Evan Hinson,23,FR,G,4-Jun,238,"Deltona, FL",,"1.1 Pts, 0.6 Reb, 0.1 Ast"
South Carolina,Kory Holden,1,JR,G,1-Jun,181,"Salisbury, MD",J.M. Bennett HS,
South Carolina,Jarrell Holliman,31,JR,F,8-Jun,190,"Alpharetta, GA",Alpharetta (GA),"0.5 Pts, 0.7 Reb, 0.1 Ast"
South Carolina,Sedee Keita,24,FR,F,9-Jun,240,"Philadelphia, PA",,"1.1 Pts, 2.0 Reb, 0.1 Ast"
South Carolina,Maik Kotsar,21,FR,F,10-Jun,245,"Tallin, Estonia",,"5.8 Pts, 4.8 Reb, 0.7 Ast"
South Carolina,Justin McKie,20,SR,G,4-Jun,196,"Columbia, SC",Irmo HS,"4.2 Pts, 2.1 Reb, 1.2 Ast"
South Carolina,Duane Notice,10,SR,G,2-Jun,216,"Ontario, Canada",St. Thomas More (CT),"10.2 Pts, 2.5 Reb, 2.3 Ast"
South Carolina,John Ragin,34,SO,G,2-Jun,177,"Eastover, SC",Cardinal Newman HS,
South Carolina,Christian Schmitt,25,FR,G,Jun-00,175,"Mars, PA",,
South Carolina,Chris Silva,30,SO,F,9-Jun,205,"Libreville, Gabon",Roselle Catholic HS,"10.3 Pts, 6.1 Reb, 0.4 Ast"
South Carolina,Sindarius Thornwell,0,SR,G,5-Jun,215,"Lancaster, SC",Oak Hill Academy,"21.4 Pts, 7.2 Reb, 2.8 Ast"
South Carolina,Ran Tut,14,JR,F,9-Jun,210,,,"1.0 Pts, 1.2 Reb, 0.2 Ast"
Ole Miss,Lane Below,24,JR,G,1-Jun,190,"Advance, MO",,0.5 Pts
Ole Miss,Rasheed Brooks,14,SR,G,5-Jun,192,"Kalamazoo, MI",Lexington HS (OH),"6.4 Pts, 2.6 Reb, 1.6 Ast"
Ole Miss,Deandre Burnett,1,JR,G,2-Jun,195,"Miami Gardens, FL",Carol City,"16.5 Pts, 2.1 Reb, 3.2 Ast"
Ole Miss,Jake Coddington,30,SR,F,6-Jun,212,"Edwardsville, IL",,
Ole Miss,Terence Davis,3,SO,G,4-Jun,190,"Southaven, MS",Southaven HS,"14.9 Pts, 5.3 Reb, 1.8 Ast"
Ole Miss,Donte Fitzpatrick-Dorsey,0,SO,G,4-Jun,183,"Memphis, TN",,"1.4 Pts, 1.1 Reb, 0.4 Ast"
Ole Miss,Justas Furmanavicius,50,JR,F,6-Jun,200,"Kaunas, Lithuania",,"6.2 Pts, 5.0 Reb, 1.1 Ast"
Ole Miss,Marcanvis Hymon,5,JR,F,6-Jun,207,"Memphis, TN",Whitehaven HS,"3.5 Pts, 5.0 Reb, 0.6 Ast"
Ole Miss,Nate Morris,32,FR,F,9-Jun,240,"Lancaster, TX",,1.0 Reb
Ole Miss,Cullen Neal,2,JR,G,5-Jun,190,"Albuquerque, NM",Eldorado HS,"9.4 Pts, 1.7 Reb, 2.1 Ast"
Ole Miss,Dominik Olejniczak,44,FR,C,Jul-00,255,"Torun, Poland",,
Ole Miss,Sebastian Saiz,11,SR,F,9-Jun,233,"Madrid, Spain",Sunrise Christian Academy,"15.1 Pts, 11.4 Reb, 1.0 Ast"
Ole Miss,Karlis Silins,12,FR,F,10-Jun,225,"Riga, Latvia",,"0.5 Pts, 0.6 Reb"
Ole Miss,Breein Tyree,4,FR,G,2-Jun,190,"Somerset, NJ",,"7.3 Pts, 1.9 Reb, 1.9 Ast"
Alabama,Brandon Austin,23,SO,G,5-Jun,197,"Montgomery, AL",Carver-Montgomery HS,"0.6 Pts, 0.6 Reb, 0.1 Ast"
Alabama,Corban Collins,3,SR,G,3-Jun,190,"High Point, NC",Massanutten Military Academy,"7.0 Pts, 1.8 Reb, 1.5 Ast"
Alabama,Ar'Mond Davis,22,JR,G,6-Jun,190,"Tacoma, WA",,"6.0 Pts, 1.5 Reb, 0.1 Ast"
Alabama,Landon Fuller,33,,G,8-Jun,230,,,
Alabama,Daniel Giddens,4,SO,F,11-Jun,235,"Mableton, GA",,
Alabama,Shannon Hale,11,SR,F,8-Jun,226,"Johnson City, TN",Christ School,"4.1 Pts, 1.5 Reb, 0.3 Ast"
Alabama,Donta Hall,35,SO,F,9-Jun,224,"Luverne, AL",Luverne HS,"6.0 Pts, 5.5 Reb, 0.5 Ast"
Alabama,Dazon Ingram,12,FR,G,5-Jun,205,"Theodore, AL",Theodore HS,"10.6 Pts, 4.5 Reb, 3.3 Ast"
Alabama,Avery Johnson,5,SO,G,11-May,182,"Houston, TX",Plano West,"6.9 Pts, 1.7 Reb, 1.4 Ast"
Alabama,Braxton Key,25,FR,F,8-Jun,220,"Charlotte, NC",,"12.0 Pts, 5.7 Reb, 2.5 Ast"
Alabama,Nick King,0,JR,G,7-Jun,220,"Memphis, TN",East,"3.3 Pts, 2.9 Reb, 0.4 Ast"
Alabama,Riley Norris,1,JR,G,7-Jun,207,"Albertville, AL",Albertville HS,"9.0 Pts, 3.8 Reb, 0.7 Ast"
Alabama,Bola Olaniyan,21,SR,F,7-Jun,230,"Lagos, Nigeria",Richmond HS,"3.1 Pts, 6.4 Reb, 0.4 Ast"
Alabama,Lawson Schaffer,2,SO,G,11-May,160,"Cullman, AL",Cullman HS,"1.1 Pts, 0.3 Reb, 0.3 Ast"
Alabama,Jimmie Taylor,10,SR,F,10-Jun,240,"Greensboro, AL",Greensboro HS,"5.1 Pts, 3.7 Reb, 0.6 Ast"
Vanderbilt,Larry Austin Jr.,14,SO,G,2-Jun,175,"Springfield, IL",Lanphier HS,
Vanderbilt,Djery Baptiste,12,FR,C,10-Jun,235,"Gonaives, Haiti",Prestonwood Christian HS,"1.8 Pts, 1.9 Reb, 0.0 Ast"
Vanderbilt,Clevon Brown,15,FR,F,8-Jun,219,"San Antonio, TX",,"1.6 Pts, 1.5 Reb, 0.1 Ast"
Vanderbilt,Nolan Cressler,24,SR,G,4-Jun,204,"Pittsburgh, PA",Plum,"7.8 Pts, 4.2 Reb, 1.7 Ast"
Vanderbilt,Matthew Fisher-Davis,5,JR,G,5-Jun,173,"Charlotte, NC",Butler HS,"13.9 Pts, 3.2 Reb, 1.0 Ast"
Vanderbilt,Camron Justice,0,SO,G,3-Jun,180,"Hindman, KY",Knott County Central HS,"1.7 Pts, 0.9 Reb, 1.0 Ast"
Vanderbilt,Luke Kornet,3,SR,F,Jul-00,235,"Lantana, TX",Liberty Christian HS,"13.2 Pts, 6.2 Reb, 1.2 Ast"
Vanderbilt,Riley LaChance,13,JR,G,2-Jun,194,"Brookfield, WI",Brookfield Central HS,"10.5 Pts, 3.3 Reb, 3.9 Ast"
Vanderbilt,Phillip McGloin,20,JR,G,1-Jun,178,"Washington, DC",Sidwell Friends HS,
Vanderbilt,Jeff Roberson,11,JR,F,6-Jun,206,"Houston, TX",The Kinkaid School,"10.8 Pts, 7.0 Reb, 1.7 Ast"
Vanderbilt,Joe Toye,2,SO,G,7-Jun,201,"Chicago, IL",Whitney Young HS,"6.4 Pts, 2.6 Reb, 1.1 Ast"
Vanderbilt,Payton Willis,1,FR,G,4-Jun,182,"Fayetteville, AR",,"5.2 Pts, 1.8 Reb, 1.8 Ast"
Georgia,Tyree Crump,4,FR,G,1-Jun,180,"Bainbridge, GA",,"3.6 Pts, 0.7 Reb, 0.5 Ast"
Georgia,Pape Diatta,5,JR,F,7-Jun,220,"Dakar, Senegal",,"2.6 Pts, 1.9 Reb, 0.5 Ast"
Georgia,Mike Edwards,32,SO,F,9-Jun,225,"Westland, MI",John Glenn HS,"4.4 Pts, 3.6 Reb, 0.2 Ast"
Georgia,J.J. Frazier,30,SR,G,10-May,150,"Glennville, GA",Faith Baptist Christian HS,"18.8 Pts, 3.8 Reb, 4.1 Ast"
Georgia,Kenny Paul Geno,25,SR,F,6-Jun,200,"Booneville, MS",Bonneville HS,"1.5 Pts, 1.3 Reb, 0.5 Ast"
Georgia,Jordan Harris,2,FR,G,4-Jun,185,"Iron City, GA",,"4.7 Pts, 1.4 Reb, 1.5 Ast"
Georgia,Christian Harrison,11,SO,G,4-Jun,200,"Atlanta, GA",Woodward Academy,
Georgia,William Jackson II,0,SO,G,2-Jun,185,"Athens, GA",Athens Christian,"4.1 Pts, 1.2 Reb, 1.1 Ast"
Georgia,Houston Kessler,24,SR,F,8-Jun,225,"Newnan, GA",Landmark Christian HS,"0.4 Pts, 1.1 Reb"
Georgia,Yante Maten,1,JR,F,8-Jun,240,"Pontiac, MI",Bloomfield Hills HS,"18.2 Pts, 6.8 Reb, 1.5 Ast"
Georgia,Connor O'Neill,33,SO,F,6-Jun,220,"Roswell, GA",,0.8 Reb
Georgia,Derek Ogbeide,34,SO,F,8-Jun,240,"Atlanta, GA",Pebblebrook HS,"7.1 Pts, 7.6 Reb, 0.6 Ast"
Georgia,Juwan Parker,3,JR,G,4-Jun,200,"Tulsa, OK",Booker T. Washington HS,"9.3 Pts, 5.3 Reb, 1.8 Ast"
Georgia,E'Torrion Wilridge,13,SO,F,6-Jun,215,"Beaumont, TX",,"2.1 Pts, 1.6 Reb, 1.2 Ast"
Georgia,Brandon Young,14,SR,G,10-May,160,"Atlanta, GA",Marist HS,0.1 Reb
Texas A&M,Frank Byers,22,SO,G,10-May,168,"Dallas, TX",South Oak Cliff HS,"0.3 Reb, 0.3 Ast"
Texas A&M,JJ Caldwell,4,FR,G,1-Jun,184,"Houston, TX",,
Texas A&M,Chase Carlton,33,SO,G,1-Jun,186,"Austin, TX",,"0.2 Pts, 0.3 Reb, 0.9 Ast"
Texas A&M,Chris Collins,12,SO,G,2-Jun,180,"Friendswood, TX",Friendswood HS,"1.4 Pts, 1.0 Reb, 1.4 Ast"
Texas A&M,Tyler Davis,34,SO,C,10-Jun,265,"Plano, TX",Plano West HS,"14.2 Pts, 7.0 Reb, 1.4 Ast"
Texas A&M,Kobie Eubanks,0,SO,G,5-Jun,218,"Fort Lauderdale, FL",Elev8 Sports Institute (FL),"1.0 Pts, 0.9 Reb, 0.1 Ast"
Texas A&M,Mark French,11,FR,G,8-May,150,"Plano, TX",,1.3 Pts
Texas A&M,Admon Gilder,3,SO,G,3-Jun,186,"Dallas, TX",Madison HS,"13.7 Pts, 3.9 Reb, 3.9 Ast"
Texas A&M,J.C. Hampton,5,SR,G,Jun-00,175,"Gainesville, GA",East Hall HS,"6.7 Pts, 2.0 Reb, 1.8 Ast"
Texas A&M,DJ Hogg,1,SO,F,8-Jun,216,"Plano, TX",Plano West HS,"12.0 Pts, 5.1 Reb, 3.4 Ast"
Texas A&M,Tavario Miller,42,SR,F,7-Jun,226,"Long Island, Bahamas",Wheatley HS,"3.1 Pts, 2.7 Reb, 0.2 Ast"
Texas A&M,Kyle Nugent,20,SO,G,4-Jun,180,"College Station, TX",,
Texas A&M,Caleb Smith,23,FR,G,1-Jun,178,"Wichita, KS",,"1.6 Pts, 0.9 Reb, 0.5 Ast"
Texas A&M,Tonny Trocha-Morelos,10,JR,C,10-Jun,221,"Cartagena, Colombia",Mayor Jose Celestino Mutis,"8.1 Pts, 5.2 Reb, 2.1 Ast"
Texas A&M,Eric Vila,2,FR,F,11-Jun,206,"Girona, Spain",,"2.2 Pts, 2.0 Reb, 0.9 Ast"
Texas A&M,Robert Williams,44,FR,F,9-Jun,237,"Vivian, LA",,"11.8 Pts, 8.1 Reb, 1.4 Ast"
Tennessee,Kyle Alexander,11,SO,F,9-Jun,215,"Ontario, Canada",,"3.3 Pts, 4.0 Reb, 0.2 Ast"
Tennessee,Jordan Bone,0,FR,G,1-Jun,173,"Nashville, TN",,"7.2 Pts, 1.7 Reb, 2.9 Ast"
Tennessee,Jordan Bowden,23,FR,G,3-Jun,180,"Knoxville, TN",,"7.9 Pts, 2.9 Reb, 1.3 Ast"
Tennessee,Lucas Campbell,24,SO,G,3-Jun,180,"Knoxville, TN",Christian Academy of Knoxville,1.3 Pts
Tennessee,Lew Evans,21,SR,F,8-Jun,235,"Salt Lake City, UT",Highland,"3.4 Pts, 2.8 Reb, 0.9 Ast"
Tennessee,Jacob Fleschman,4,FR,G,1-Jun,160,"Austin, TX",,
Tennessee,John Fulkerson,10,FR,F,7-Jun,203,"Kingsport, TN",,"4.7 Pts, 4.6 Reb, 1.0 Ast"
Tennessee,Robert Hubbs,3,SR,G,6-Jun,195,"Newbern, TN",Dyer County HS,"13.7 Pts, 4.6 Reb, 1.7 Ast"
Tennessee,Jalen Johnson,13,FR,G,5-Jun,177,"Durham, NC",,
Tennessee,Detrick Mostella,15,JR,G,3-Jun,170,"Decatur, AL",La Lumiere (IN),"10.5 Pts, 3.9 Reb, 1.2 Ast"
Tennessee,Kwe Parker,12,FR,G,1-Jun,181,"Fayetteville, NC",,"1.0 Pts, 0.8 Reb, 0.9 Ast"
Tennessee,Shembari Phillips,25,SO,G,2-Jun,190,"Atlanta, GA",Wheeler HS,"6.2 Pts, 3.1 Reb, 1.7 Ast"
Tennessee,Admiral Schofield,5,SO,F,5-Jun,240,"Zion, IL",Zion-Benton TownshiP HS,"8.2 Pts, 4.4 Reb, 0.8 Ast"
Tennessee,Lamonte Turner,1,FR,G,1-Jun,190,"Florence, AL",,"8.2 Pts, 2.5 Reb, 2.7 Ast"
Tennessee,Grant Williams,2,FR,F,5-Jun,234,"Charlotte, NC",,"12.6 Pts, 5.9 Reb, 1.1 Ast"
Tennessee,Brad Woodson,32,SO,G,1-Jun,180,"Murfreesboro, TN",Riverdale HS,"1.4 Pts, 0.2 Ast"
Auburn,Cole Blackstock,41,SO,F,9-Jun,253,"Killen, AL",Brooks HS,0.7 Reb
Auburn,Bryce Brown,2,SO,G,3-Jun,195,"Stone Mountain, GA",Tucker HS,"7.5 Pts, 2.0 Reb, 1.2 Ast"
Auburn,Mike Cohen,25,FR,G,10-May,175,"Voorhees, NJ",,0.5 Ast
Auburn,T.J. Dunans,4,SR,G,5-Jun,174,"Atlanta, GA",M.L. King,"8.2 Pts, 3.5 Reb, 2.5 Ast"
Auburn,Jared Harper,1,FR,G,10-May,165,"Mableton, GA",,"11.4 Pts, 1.9 Reb, 3.0 Ast"
Auburn,Mustapha Heron,5,FR,G,5-Jun,215,"Waterbury, CT",,"15.2 Pts, 6.1 Reb, 1.3 Ast"
Auburn,Heath Huff,10,FR,F,10-Jun,250,"Auburn, AL",,
Auburn,Ronnie Johnson,35,SR,G,Jun-00,180,"Indianapolis, IN",North Central,"7.8 Pts, 1.8 Reb, 2.3 Ast"
Auburn,Patrick Keim,21,JR,G,2-Jun,186,"Birmingham, AL",Mountain Brook HS,"0.8 Pts, 0.6 Reb, 0.2 Ast"
Auburn,TJ Lang,23,JR,G,7-Jun,193,"Mobile, AL",McGill-Toolen HS,"4.3 Pts, 1.8 Reb, 0.5 Ast"
Auburn,Will Macoy,22,FR,G,4-Jun,180,"Birmingham, AL",,"2.0 Pts, 0.2 Reb"
Auburn,Anfernee McLemore,24,FR,F,7-Jun,210,"Warwick, GA",,"5.4 Pts, 4.5 Reb, 0.1 Ast"
Auburn,DeSean Murray,13,JR,F,4-Jun,230,"Stanley, NC",Northside Christian HS,
Auburn,Danjel Purifoy,3,FR,F,7-Jun,230,"Centreville, AL",,"11.5 Pts, 4.7 Reb, 1.8 Ast"
Auburn,LaRon Smith,12,SR,F,8-Jun,195,"Palm Bay, FL",Heritage,"2.6 Pts, 2.4 Reb, 0.2 Ast"
Auburn,Horace Spencer,0,SO,F,9-Jun,220,"Philadelphia, PA",,"4.8 Pts, 3.4 Reb, 0.5 Ast"
Auburn,Trey Tate,52,SO,F,6-Jun,230,"Dothan, AL",,
Auburn,Devin Waddell,31,SR,G,5-Jun,221,"Greensboro, NC",Hargrave Military Academy,"0.7 Pts, 0.6 Reb, 0.3 Ast"
Auburn,Austin Wiley,50,,C,11-Jun,255,,,"8.8 Pts, 4.7 Reb, 0.2 Ast"
Auburn,New Williams,44,SO,G,2-Jun,170,"Inglewood, CA",Santa Monica HS,
Mississippi State,Abdul Ado,24,FR,F,11-Jun,246,"Chattanooga, TN",,
Mississippi State,Tyson Carter,23,FR,G,4-Jun,167,"Starkville, MS",,"7.5 Pts, 1.7 Reb, 0.7 Ast"
Mississippi State,E.J. Datcher,45,FR,C,9-Jun,240,"Vincent, AL",,"1.0 Pts, 1.5 Reb, 0.0 Ast"
Mississippi State,Drew Davis,12,JR,G,10-May,172,"Atlanta, GA",,"1.8 Pts, 0.2 Reb, 0.3 Ast"
Mississippi State,Schnider Herard,34,FR,C,10-Jun,250,"Plano, TX",,"5.1 Pts, 5.0 Reb, 0.2 Ast"
Mississippi State,Aric Holman,35,SO,F,10-Jun,195,"Owensboro, KY",Owensboro HS,"8.5 Pts, 6.0 Reb, 0.6 Ast"
Mississippi State,Mario Kegler,4,FR,G,7-Jun,220,"Jackson, MS",,"9.7 Pts, 5.5 Reb, 1.2 Ast"
Mississippi State,Lamar Peters,1,FR,G,Jun-00,188,"New Orleans, LA",,"10.7 Pts, 2.3 Reb, 3.4 Ast"
